,ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling
50103,50104,Male,36,Returning,Business,Business,77,0,0.0,4,4,1,5,4,4,4,5,4,3,4,4,4,3
50104,50105,Female,66,Returning,Business,Economy,134,0,0.0,4,4,3,3,4,2,3,2,1,3,2,2,2,2
50105,50106,Male,69,Returning,Business,Business,3175,0,8.0,4,4,2,3,4,4,4,3,3,3,4,2,4,2
50106,50107,Male,46,Returning,Business,Economy,250,0,0.0,1,1,1,4,1,5,4,2,4,4,1,4,4,5
50107,50108,Female,44,Returning,Business,Economy,421,110,139.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
50108,50109,Female,40,Returning,Business,Business,250,0,0.0,2,2,3,3,2,2,3,2,1,4,2,2,2,2
50109,50110,Male,25,First-time,Business,Economy,86,459,445.0,1,1,5,5,4,2,5,3,5,1,4,1,3,3
50110,50111,Male,59,Returning,Business,Economy,86,0,0.0,1,3,4,2,1,3,2,2,2,2,3,2,2,3
50111,50112,Female,38,First-time,Business,Economy,110,0,0.0,2,3,2,3,3,3,3,5,3,3,4,4,3,4
50112,50113,Male,49,Returning,Business,Business,2790,0,0.0,4,4,2,4,4,5,4,4,3,2,5,5,5,5
50113,50114,Female,61,Returning,Business,Business,109,0,0.0,5,5,4,3,5,4,4,4,1,2,4,4,4,4
50114,50115,Male,46,Returning,Business,Economy,373,0,0.0,0,0,4,1,3,3,2,3,2,2,3,1,2,4
50115,50116,Female,49,First-time,Business,Economy,250,0,0.0,5,4,4,4,3,4,3,3,3,3,4,4,3,4
50116,50117,Male,56,Returning,Business,Business,373,18,14.0,3,3,3,3,3,3,3,3,1,5,3,3,3,3
50117,50118,Female,51,Returning,Business,Business,2591,103,101.0,1,1,1,1,1,2,2,2,2,1,2,1,2,1
50118,50119,Male,15,First-time,Business,Economy,153,0,0.0,1,3,1,3,3,3,4,1,5,5,4,3,5,3
50119,50120,Female,73,Returning,Business,Economy,373,0,0.0,5,5,1,2,5,2,2,2,3,4,2,2,2,2
50120,50121,Female,33,Returning,Business,Economy,326,65,55.0,4,4,2,2,4,2,2,2,2,2,4,2,2,3
50121,50122,Male,46,Returning,Business,Economy,109,35,28.0,1,5,2,3,1,2,4,5,4,4,3,3,4,3
50122,50123,Female,41,Returning,Business,Economy,308,0,13.0,4,4,3,1,4,2,1,4,1,1,2,1,1,1
50123,50124,Female,32,Returning,Business,Economy,109,25,32.0,3,3,2,3,3,1,3,2,3,3,4,3,3,4
50124,50125,Female,62,Returning,Business,Economy,262,0,0.0,3,3,5,1,3,5,3,5,1,1,5,5,5,5
50125,50126,Female,51,Returning,Business,Business,250,42,64.0,5,5,3,1,5,1,2,2,1,5,1,1,1,1
50126,50127,Male,46,Returning,Business,Business,3473,0,0.0,5,2,1,3,5,2,3,2,2,3,2,1,2,1
50127,50128,Female,44,Returning,Business,Economy,190,0,0.0,3,3,5,1,3,4,5,4,1,3,4,4,4,4
50128,50129,Male,56,Returning,Business,Economy,199,0,0.0,5,5,3,3,5,2,3,3,3,3,2,3,3,3
50129,50130,Male,44,Returning,Business,Business,3997,59,59.0,1,1,1,4,1,3,3,3,4,3,3,2,3,2
50130,50131,Female,39,Returning,Business,Business,86,0,22.0,4,4,3,4,4,2,3,3,2,5,2,1,2,1
50131,50132,Female,38,First-time,Business,Economy,337,13,20.0,2,2,3,2,4,4,4,5,4,4,3,2,4,4
50132,50133,Male,35,Returning,Business,Business,308,0,0.0,1,1,3,4,2,5,2,5,4,4,5,0,5,5
50133,50134,Male,37,First-time,Business,Economy,158,1,0.0,0,3,1,3,1,4,1,1,2,2,3,3,2,3
50134,50135,Female,48,Returning,Business,Business,2967,0,0.0,2,2,5,4,2,4,5,4,1,5,4,2,4,4
50135,50136,Female,40,First-time,Business,Business,109,46,49.0,3,3,4,3,4,4,1,5,1,1,4,3,1,4
50136,50137,Female,41,Returning,Business,Business,209,95,100.0,4,4,1,3,4,2,3,2,2,1,2,4,2,4
50137,50138,Female,52,Returning,Business,Business,337,0,0.0,2,2,4,4,2,3,4,3,4,4,3,3,3,3
50138,50139,Male,42,Returning,Business,Economy,373,0,0.0,3,3,3,3,3,4,3,4,3,3,3,3,3,3
50139,50140,Male,27,First-time,Business,Economy,77,33,33.0,3,1,4,1,4,3,2,1,2,2,3,1,2,4
50140,50141,Male,41,Returning,Business,Business,78,0,0.0,3,3,1,4,3,3,3,3,4,1,3,2,3,2
50141,50142,Male,56,Returning,Business,Business,1644,0,0.0,0,0,3,5,1,3,2,3,1,3,3,0,3,3
50142,50143,Female,33,Returning,Business,Business,2814,0,19.0,5,5,3,2,5,2,1,2,2,2,2,5,2,2
50143,50144,Male,41,Returning,Business,Business,109,0,0.0,3,4,2,3,3,1,3,1,2,5,1,2,1,2
50144,50145,Female,23,Returning,Business,Business,3256,0,25.0,5,5,3,3,5,3,2,2,3,3,3,2,3,4
50145,50146,Female,26,First-time,Business,Economy,89,0,0.0,3,2,1,2,4,1,5,3,5,5,4,2,5,3
50146,50147,Male,17,Returning,Business,Business,3875,0,0.0,4,4,2,2,4,4,4,1,1,1,4,4,1,3
50147,50148,Male,26,First-time,Business,Economy,190,32,45.0,1,1,3,1,3,2,4,2,4,4,4,2,4,4
50148,50149,Female,34,Returning,Business,Business,2708,5,0.0,3,3,1,4,3,1,4,1,4,3,1,1,1,1
50149,50150,Female,25,First-time,Business,Economy,109,0,0.0,2,2,4,2,3,3,3,3,3,3,4,2,3,3
50150,50151,Male,50,Returning,Business,Business,3256,0,0.0,5,5,4,4,5,0,3,1,3,4,0,2,0,2
50151,50152,Male,36,Returning,Business,Economy,363,0,0.0,2,2,5,5,2,1,5,2,5,5,3,5,5,4
50152,50153,Female,42,First-time,Business,Economy,372,0,10.0,1,4,2,4,3,4,4,3,4,4,4,4,4,3
50153,50154,Male,58,Returning,Business,Business,2774,0,0.0,4,4,4,5,4,4,3,4,1,4,4,4,4,4
50154,50155,Female,37,First-time,Business,Economy,199,4,2.0,4,2,4,2,4,2,3,2,3,3,4,2,3,4
50155,50156,Female,27,Returning,Business,Business,2272,0,0.0,3,3,5,5,3,3,4,4,5,5,3,3,5,4
50156,50157,Male,33,Returning,Business,Business,1503,8,8.0,2,2,4,4,2,3,5,1,5,5,3,5,5,2
50157,50158,Female,33,Returning,Business,Business,78,0,0.0,5,4,2,3,5,5,4,5,5,1,5,5,5,5
50158,50159,Female,20,First-time,Business,Economy,109,0,0.0,0,5,5,0,2,1,1,5,5,5,3,5,5,2
50159,50160,Male,33,Returning,Business,Business,3284,15,24.0,4,4,3,3,4,1,3,5,3,3,3,3,3,4
50160,50161,Female,38,First-time,Business,Economy,109,0,0.0,1,2,2,2,3,3,5,3,5,5,3,3,5,3
50161,50162,Female,44,First-time,Business,Economy,110,11,6.0,1,1,2,1,2,4,1,3,1,1,2,1,1,2
50162,50163,Female,26,Returning,Business,Business,110,0,0.0,2,2,5,4,2,1,3,5,4,4,1,2,4,5
50163,50164,Male,37,First-time,Business,Economy,89,0,0.0,0,2,2,2,1,5,1,1,3,3,2,2,3,4
50164,50165,Male,33,Returning,Business,Business,2654,0,0.0,1,1,1,5,1,4,5,1,5,5,2,1,5,2
50165,50166,Male,33,First-time,Business,Economy,86,36,36.0,4,2,4,2,3,4,3,2,3,3,3,3,3,4
50166,50167,Female,37,Returning,Business,Economy,262,58,56.0,1,1,2,4,1,2,5,4,5,5,3,5,5,4
50167,50168,Female,62,First-time,Business,Economy,363,16,39.0,2,4,4,4,3,1,4,2,1,1,4,4,1,3
50168,50169,Male,39,Returning,Business,Business,2024,0,0.0,4,4,4,3,4,4,4,4,3,5,4,4,4,4
50169,50170,Male,49,Returning,Business,Economy,250,0,0.0,4,3,2,4,4,3,4,3,4,4,3,4,4,4
50170,50171,Female,49,Returning,Business,Business,89,37,30.0,3,4,3,3,3,3,4,3,2,2,3,2,3,2
50171,50172,Male,58,Returning,Business,Business,266,99,88.0,2,2,4,3,2,2,3,2,4,2,2,2,2,2
50172,50173,Male,46,Returning,Business,Business,190,0,0.0,5,5,2,4,5,3,3,3,4,3,3,2,3,2
50173,50174,Female,39,First-time,Business,Business,266,0,0.0,2,2,2,2,2,3,1,4,3,3,5,2,3,2
50174,50175,Female,24,First-time,Business,Economy,373,2,0.0,2,1,3,1,3,1,1,5,1,1,4,1,1,3
50175,50176,Female,40,Returning,Business,Economy,156,95,89.0,4,4,3,1,4,2,1,4,1,1,2,1,1,3
50176,50177,Male,45,Returning,Business,Business,1828,0,0.0,3,3,3,5,3,5,4,5,2,1,5,3,5,5
50177,50178,Female,47,First-time,Business,Economy,86,0,0.0,3,5,5,5,4,3,1,5,1,1,4,4,1,1
50178,50179,Female,39,Returning,Business,Economy,89,0,,4,4,3,5,4,4,5,4,5,5,4,5,5,5
50179,50180,Female,22,First-time,Business,Economy,109,235,235.0,1,3,1,1,2,1,1,3,1,3,4,3,3,3
50180,50181,Male,54,First-time,Business,Economy,153,0,0.0,0,1,1,1,3,4,3,4,5,5,4,1,5,5
50181,50182,Male,60,Returning,Business,Economy,89,4,10.0,5,5,1,4,5,3,4,4,4,4,4,4,4,4
50182,50183,Male,44,Returning,Business,Economy,193,0,0.0,4,4,3,2,4,3,2,5,2,2,2,2,2,2
50183,50184,Male,55,Returning,Business,Business,109,0,0.0,4,0,2,1,4,3,3,3,1,5,3,0,3,3
50184,50185,Male,53,Returning,Business,Business,86,0,0.0,5,5,1,3,5,1,3,1,2,2,1,4,1,4
50185,50186,Male,54,First-time,Business,Economy,109,0,0.0,0,3,1,3,1,5,3,1,3,3,2,3,3,4
50186,50187,Male,47,Returning,Business,Business,3572,0,0.0,1,1,4,4,1,4,5,5,1,5,4,1,4,3
50187,50188,Male,34,First-time,Business,Economy,337,0,1.0,0,4,3,4,1,1,2,2,2,2,1,3,2,2
50188,50189,Female,25,First-time,Business,Economy,209,0,0.0,0,3,2,3,3,3,3,4,3,3,3,3,3,5
50189,50190,Female,58,First-time,Business,Economy,308,0,5.0,3,3,4,3,4,1,5,2,5,5,3,3,5,4
50190,50191,Female,26,Returning,Business,Business,3879,0,0.0,2,2,1,3,2,3,3,4,3,3,4,3,3,3
50191,50192,Female,40,First-time,Business,Business,156,8,2.0,3,3,4,3,3,3,3,3,3,3,5,3,3,5
50192,50193,Female,40,First-time,Business,Business,86,0,0.0,1,1,3,1,4,5,2,5,1,1,2,1,1,2
50193,50194,Female,37,Returning,Business,Economy,209,0,7.0,3,4,2,3,3,1,2,5,2,2,4,2,2,4
50194,50195,Female,37,Returning,Business,Economy,266,0,0.0,2,2,2,4,2,2,4,4,4,4,1,4,4,2
50195,50196,Male,23,Returning,Business,Business,373,11,6.0,5,5,3,2,5,3,2,2,2,2,4,2,2,3
50196,50197,Male,47,First-time,Business,Economy,77,0,0.0,1,4,3,4,3,3,1,2,1,1,3,4,1,3
50197,50198,Female,45,First-time,Business,Economy,337,7,11.0,1,2,3,2,3,1,1,1,1,1,3,2,1,3
50198,50199,Female,19,First-time,Business,Economy,190,87,77.0,2,3,3,3,4,2,3,1,3,3,3,3,3,3
50199,50200,Female,36,Returning,Business,Business,373,0,0.0,3,3,5,1,3,5,1,5,1,1,5,3,5,5
50200,50201,Female,29,First-time,Business,Economy,89,1,0.0,5,2,2,2,3,1,4,4,4,4,2,2,4,3
50201,50202,Female,33,Returning,Business,Business,56,0,0.0,5,4,2,1,5,4,2,4,2,1,4,4,4,4
50202,50203,Female,57,Returning,Business,Economy,89,0,0.0,4,4,4,3,4,2,3,2,1,4,2,2,2,2
50203,50204,Female,34,Returning,Business,Economy,207,0,0.0,3,3,1,5,3,3,5,5,5,5,2,5,5,1
50204,50205,Female,39,Returning,Business,Business,2720,10,4.0,4,4,1,4,4,2,3,2,4,2,2,4,2,4
50205,50206,Male,55,Returning,Business,Business,3130,204,208.0,3,3,1,2,3,1,1,4,1,1,4,2,3,3
50206,50207,Male,28,Returning,Business,Economy,86,0,0.0,3,3,2,1,3,2,1,5,1,1,4,1,1,4
50207,50208,Male,73,Returning,Business,Economy,373,98,132.0,5,5,2,2,5,1,2,3,2,2,3,2,2,3
50208,50209,Male,78,Returning,Business,Economy,77,0,0.0,5,5,3,4,5,1,5,3,5,5,2,4,5,2
50209,50210,Female,36,Returning,Business,Business,1519,44,37.0,4,4,3,4,4,2,3,2,3,2,2,3,2,3
50210,50211,Female,59,Returning,Business,Economy,77,0,0.0,5,5,4,3,5,2,3,2,3,3,2,2,2,2
50211,50212,Male,44,Returning,Business,Economy,337,0,11.0,5,2,2,3,5,3,3,2,3,3,4,3,3,3
50212,50213,Female,25,Returning,Business,Business,308,11,17.0,2,2,3,1,2,3,1,1,1,1,4,1,1,4
50213,50214,Male,69,Returning,Business,Economy,109,11,4.0,3,4,5,4,3,3,4,1,4,4,2,4,4,1
50214,50215,Female,33,Returning,Business,Economy,77,25,20.0,5,5,2,1,5,3,1,3,1,1,3,1,1,4
50215,50216,Female,26,First-time,Business,Economy,109,14,10.0,1,2,3,2,3,1,1,4,1,1,4,2,1,3
50216,50217,Male,21,First-time,Business,Economy,89,0,2.0,2,2,3,2,3,3,1,4,1,1,4,2,1,3
50217,50218,Female,55,Returning,Business,Economy,86,0,0.0,1,1,2,2,1,3,3,3,4,3,3,3,3,3
50218,50219,Male,53,Returning,Business,Economy,78,0,0.0,2,2,4,3,2,2,3,3,3,3,4,3,3,4
50219,50220,Female,70,Returning,Business,Economy,86,0,0.0,1,1,1,3,1,1,2,1,1,4,1,1,1,1
50220,50221,Female,37,Returning,Business,Business,3244,114,102.0,3,3,3,4,3,1,4,1,3,5,1,1,1,1
50221,50222,Female,39,Returning,Business,Economy,109,0,0.0,5,5,2,5,5,1,5,2,5,5,4,5,5,4
50222,50223,Female,43,Returning,Business,Business,421,0,0.0,2,3,1,4,2,4,3,4,4,5,4,4,4,4
50223,50224,Female,50,Returning,Business,Economy,86,0,0.0,2,2,1,1,2,2,1,2,1,3,2,2,2,2
50224,50225,Male,57,Returning,Business,Business,2639,0,0.0,1,1,1,5,1,4,2,4,1,3,4,1,4,4
50225,50226,Female,29,First-time,Business,Economy,190,0,12.0,2,1,2,1,4,3,4,5,4,4,3,1,4,3
50226,50227,Female,61,Returning,Business,Business,421,0,0.0,4,4,5,5,4,3,2,3,5,3,3,4,3,3
50227,50228,Male,39,Returning,Business,Business,89,0,0.0,2,5,2,2,2,4,4,4,1,4,4,2,4,5
50228,50229,Female,57,Returning,Business,Business,3488,15,6.0,3,3,3,3,3,2,3,2,2,3,2,3,2,3
50229,50230,Male,33,Returning,Business,Business,304,0,0.0,4,4,2,1,4,4,1,2,1,1,4,1,1,4
50230,50231,Male,51,Returning,Business,Economy,109,0,0.0,1,1,2,3,1,1,3,2,3,3,4,3,3,4
50231,50232,Female,45,Returning,Business,Economy,89,0,0.0,1,5,2,4,1,4,4,4,2,2,4,4,4,4
50232,50233,Male,31,Returning,Business,Business,2572,19,33.0,2,2,4,3,2,2,2,2,3,3,4,2,3,4
50233,50234,Male,62,Returning,Business,Business,363,0,0.0,5,5,2,4,5,4,3,4,2,3,4,4,4,4
50234,50235,Female,58,Returning,Business,Economy,209,0,0.0,3,3,1,4,3,3,3,3,2,5,3,3,3,3
50235,50236,Male,17,Returning,Business,Business,109,0,0.0,3,3,2,5,3,2,5,2,5,5,2,3,5,5
